Tidal current
	"Status"	"early planning"
	"Name"	"Strumble Head tidal energy project"
	"Commercial Readiness"	"commercial project"
	"Phase"	""
	"Country"	"United Kingdom"
	"Sea"	"St. George's Channel"
	"Region"	"off the coastline of Fishguard and Goodwick, Pembrokeshire"
	"Latitude (° N)"	"52.013"
	"Longitude (° E)"	"-4.969"
	"Capacity [MW]"	""
	"Energy source"	"marine energy (current)"
	"Number of converters"	""
	"(Estimated) begin of construction"	""
	"(Estimated) commissioning"	""
	"(Estimated) decommissioning"	""
	"Owner"	""
	"Project developer"	"Transition Bro Gwaun (TBG)"
	"Operator"	""
	"Converter manufacturer"	""
	"Converter type"	""
	"Converter working principle"	""
	"Converter capacity [MW]"	""
	"Website"	"http://transitionbrogwaun.org.uk/tidal-energy-project/"
	"geometry"	"POINT (-553146.54975178 6802476.36252622)"

Bathymetry
	"Band 1"	"-9.1159"

