Wave
	"Status"	"under construction"
	"Name"	"mWave Demonstrator"
	"Commercial Readiness"	"pre-commercial project"
	"Phase"	"1"
	"Country"	"United Kingdom"
	"Sea"	"Bristol Channel"
	"Region"	"META, East Pickard Bay, approx. 1 km from Freshwater West beach"
	"Latitude (° N)"	"51.666"
	"Longitude (° E)"	"-5.09"
	"Capacity [MW]"	"1.5"
	"Energy source"	"marine energy (wave)"
	"Number of converters"	"1"
	"(Estimated) begin of construction"	""
	"(Estimated) commissioning"	"31.12.2021"
	"(Estimated) decommissioning"	"31.12.2022"
	"Owner"	"Bombora Wave Power"
	"Project developer"	"Bombora Wave Power"
	"Operator"	"Bombora Wave Power"
	"Converter manufacturer"	"Bombora Wave Power"
	"Converter type"	"mWave"
	"Converter working principle"	"Submerged Pressure Differential"
	"Converter capacity [MW]"	"1.5"
	"Website"	"https://bomborawave.com/latest-news/project/1-5mw-pembrokeshire-project/"
	"geometry"	"POINT (-566616.20813776 6739957.81664534)"

Bathymetry
	"Band 1"	"50"

