Tidal current
	"Status"	"consent authorised"
	"Name"	"West Islay Tidal Energy Farm (1)"
	"Commercial Readiness"	"commercial project"
	"Phase"	"1"
	"Country"	"United Kingdom"
	"Sea"	"Atlantic Ocean"
	"Region"	"west of Portnahaven, Islay, Scotland"
	"Latitude (° N)"	"55.67"
	"Longitude (° E)"	"-6.642"
	"Capacity [MW]"	"30"
	"Energy source"	"marine energy (current)"
	"Number of converters"	"30"
	"(Estimated) begin of construction"	"31.12.2019"
	"(Estimated) commissioning"	"31.12.2022"
	"(Estimated) decommissioning"	""
	"Owner"	""
	"Project developer"	"DP Energy Limited,  Bluepower NV"
	"Operator"	""
	"Converter manufacturer"	""
	"Converter type"	""
	"Converter working principle"	""
	"Converter capacity [MW]"	""
	"Website"	"http://www.dpenergy.com/projects/tidal/west-islay-tidal-energy-farm/"
	"geometry"	"POINT (-739384.05784892 7493000.52105853)"
	"Status"	"early concept"
	"Name"	"West Islay Tidal Energy Farm (rest)"
	"Commercial Readiness"	"commercial project"
	"Phase"	"2"
	"Country"	"United Kingdom"
	"Sea"	"Atlantic Ocean"
	"Region"	"west of Portnahaven, Islay, Scotland"
	"Latitude (° N)"	"55.67"
	"Longitude (° E)"	"-6.642"
	"Capacity [MW]"	"370"
	"Energy source"	"marine energy (current)"
	"Number of converters"	""
	"(Estimated) begin of construction"	""
	"(Estimated) commissioning"	""
	"(Estimated) decommissioning"	""
	"Owner"	""
	"Project developer"	"DP Energy Limited,  Bluepower NV"
	"Operator"	""
	"Converter manufacturer"	""
	"Converter type"	""
	"Converter working principle"	""
	"Converter capacity [MW]"	""
	"Website"	"http://www.dpenergy.com/projects/tidal/west-islay-tidal-energy-farm/"
	"geometry"	"POINT (-739384.05784892 7493000.52105853)"

Bathymetry
	"Band 1"	"-34.3104"

