Wave
	"Status"	"partly operational"
	"Name"	"SINN Power WEC Demonstration (2)"
	"Commercial Readiness"	"pre-commercial project"
	"Phase"	"2"
	"Country"	"Greece"
	"Sea"	"Mediterranean Sea"
	"Region"	"Port of Heraklion"
	"Latitude (° N)"	"35.351"
	"Longitude (° E)"	"25.151"
	"Capacity [MW]"	""
	"Energy source"	"marine energy (wave)"
	"Number of converters"	"4"
	"(Estimated) begin of construction"	""
	"(Estimated) commissioning"	"05.07.2018"
	"(Estimated) decommissioning"	""
	"Owner"	""
	"Project developer"	""
	"Operator"	"SINN Power"
	"Converter manufacturer"	"SINN Power"
	"Converter type"	"SINN Power WEC"
	"Converter working principle"	"Point Absorber"
	"Converter capacity [MW]"	"0.002"
	"Website"	"https://www.sinnpower.com/"
	"geometry"	"POINT (2799796.51294162 4211683.5400769)"

Bathymetry
	"Band 1"	"-267.063"

