Tidal current
	"Status"	"fully operational"
	"Name"	"MeyGen / Inner Sound (1A)"
	"Commercial Readiness"	"commercial project"
	"Phase"	"1A"
	"Country"	"United Kingdom"
	"Sea"	"North Sea"
	"Region"	"north of Caithness, Scotland"
	"Latitude (° N)"	"58.658"
	"Longitude (° E)"	"-3.135"
	"Capacity [MW]"	"6"
	"Energy source"	"marine energy (current)"
	"Number of converters"	"4"
	"(Estimated) begin of construction"	"21.01.2015"
	"(Estimated) commissioning"	"24.02.2017"
	"(Estimated) decommissioning"	""
	"Owner"	""
	"Project developer"	"MeyGen"
	"Operator"	"MeyGen"
	"Converter manufacturer"	"ANDRITZ HYDRO Hammerfest,  SIMEC Atlantis"
	"Converter type"	"HS1500,  AR1500"
	"Converter working principle"	"Horizontal Axis Turbine,  Horizontal Axis Turbine"
	"Converter capacity [MW]"	"1.5,  1.5"
	"Website"	"http://www.meygen.com/the-project/"
	"geometry"	"POINT (-348986.60363691 8106831.87765027)"
	"Status"	"consent authorised"
	"Name"	"MeyGen / Inner Sound (1C)"
	"Commercial Readiness"	"commercial project"
	"Phase"	"1C"
	"Country"	"United Kingdom"
	"Sea"	"North Sea"
	"Region"	"North Scotland"
	"Latitude (° N)"	"58.658"
	"Longitude (° E)"	"-3.135"
	"Capacity [MW]"	"67.5"
	"Energy source"	"marine energy (current)"
	"Number of converters"	"45"
	"(Estimated) begin of construction"	""
	"(Estimated) commissioning"	"31.12.2020"
	"(Estimated) decommissioning"	""
	"Owner"	""
	"Project developer"	"MeyGen"
	"Operator"	"MeyGen"
	"Converter manufacturer"	"SIMEC Atlantis,  ANDRITZ HYDRO Hammerfest"
	"Converter type"	"AR1500,  HS1500"
	"Converter working principle"	"Horizontal Axis Turbine,  Horizontal Axis Turbine"
	"Converter capacity [MW]"	"1.5,  1.5"
	"Website"	"http://www.meygen.com/the-project/"
	"geometry"	"POINT (-348986.60363691 8106831.87765027)"
	"Status"	"early planning"
	"Name"	"MeyGen / Inner Sound (Rest)"
	"Commercial Readiness"	"commercial project"
	"Phase"	"Rest"
	"Country"	"United Kingdom"
	"Sea"	"North Sea"
	"Region"	"North Scotland"
	"Latitude (° N)"	"58.658"
	"Longitude (° E)"	"-3.135"
	"Capacity [MW]"	"324"
	"Energy source"	"marine energy (current)"
	"Number of converters"	"216"
	"(Estimated) begin of construction"	""
	"(Estimated) commissioning"	""
	"(Estimated) decommissioning"	""
	"Owner"	""
	"Project developer"	"MeyGen"
	"Operator"	"MeyGen"
	"Converter manufacturer"	""
	"Converter type"	""
	"Converter working principle"	""
	"Converter capacity [MW]"	""
	"Website"	"http://www.meygen.com/the-project/"
	"geometry"	"POINT (-348986.60363691 8106831.87765027)"
	"Status"	"early planning"
	"Name"	"MeyGen / Inner Sound (1B, Project Stroma)"
	"Commercial Readiness"	"commercial project"
	"Phase"	"1B"
	"Country"	"United Kingdom"
	"Sea"	"North Sea"
	"Region"	"north of Caithness, Scotland"
	"Latitude (° N)"	"58.658"
	"Longitude (° E)"	"-3.135"
	"Capacity [MW]"	"6"
	"Energy source"	"marine energy (current)"
	"Number of converters"	"4"
	"(Estimated) begin of construction"	"31.12.2017"
	"(Estimated) commissioning"	""
	"(Estimated) decommissioning"	""
	"Owner"	""
	"Project developer"	"Stroma Tidal Power Limited (STPL)"
	"Operator"	"MeyGen"
	"Converter manufacturer"	"SIMEC Atlantis"
	"Converter type"	"AR1500"
	"Converter working principle"	"Horizontal Axis Turbine"
	"Converter capacity [MW]"	"1.5"
	"Website"	"http://www.meygen.com/the-project/"
	"geometry"	"POINT (-348986.60363691 8106831.87765027)"

Bathymetry
	"Band 1"	"-30.8466"

