Tidal barrage lagoon fence 
	"Status"	"dormant"
	"Name"	"Incheon Tidal Power Plant"
	"Commercial Readiness"	"commercial project"
	"Phase"	""
	"Country"	"South Korea"
	"Sea"	"Yellow Sea"
	"Region"	"Gyeonggi Bay"
	"Latitude (° N)"	"37.497"
	"Longitude (° E)"	"126.342"
	"Capacity [MW]"	"1320"
	"Energy source"	"marine energy (tidal barrage)"
	"Number of converters"	"44"
	"(Estimated) begin of construction"	""
	"(Estimated) commissioning"	""
	"(Estimated) decommissioning"	""
	"Owner"	""
	"Project developer"	""
	"Operator"	""
	"Converter manufacturer"	""
	"Converter type"	""
	"Converter working principle"	""
	"Converter capacity [MW]"	""
	"Website"	"http://en.wikipedia.org/wiki/Incheon_Tidal_Power_Station"
	"geometry"	"POINT (14064327.10580377 4508610.45609057)"

Bathymetry
	"Band 1"	"-11.9975"

