Wave
	"Status"	"early concept"
	"Name"	"Rho-Cee WEC integrated with Floats Pneumatically Stabilised Platform"
	"Commercial Readiness"	"commercial project"
	"Phase"	""
	"Country"	"USA"
	"Sea"	"Pacific Ocean"
	"Region"	""
	"Latitude (° N)"	"46.2"
	"Longitude (° E)"	"-124.117"
	"Capacity [MW]"	"216"
	"Energy source"	"marine energy (wave)"
	"Number of converters"	"3"
	"(Estimated) begin of construction"	""
	"(Estimated) commissioning"	""
	"(Estimated) decommissioning"	""
	"Owner"	""
	"Project developer"	""
	"Operator"	""
	"Converter manufacturer"	""
	"Converter type"	""
	"Converter working principle"	""
	"Converter capacity [MW]"	""
	"Website"	""
	"geometry"	"POINT (-13816641.23878874 5812457.49134197)"

Bathymetry
	"Band 1"	"-29.6531"

