Tidal current
	"Status"	"fully installed - missing grid connection"
	"Name"	"Roosevelt Island Tidal Energy (RITE) (1)"
	"Commercial Readiness"	"pre-commercial project"
	"Phase"	"1"
	"Country"	"USA"
	"Sea"	"Atlantic Ocean"
	"Region"	"New York, East Channel of the East River"
	"Latitude (° N)"	"40.765"
	"Longitude (° E)"	"-73.945"
	"Capacity [MW]"	"0.105"
	"Energy source"	"marine energy (current)"
	"Number of converters"	"3"
	"(Estimated) begin of construction"	"31.10.2020"
	"(Estimated) commissioning"	""
	"(Estimated) decommissioning"	""
	"Owner"	"Verdant Power"
	"Project developer"	"Verdant Power"
	"Operator"	"Verdant Power"
	"Converter manufacturer"	"Verdant Power"
	"Converter type"	"KHPS Gen5"
	"Converter working principle"	"Horizontal Axis Turbine"
	"Converter capacity [MW]"	"0.035"
	"Website"	"https://www.verdantpower.com/projects"
	"geometry"	"POINT (-8231519.74670861 4977740.76700176)"
	"Status"	"consent authorised"
	"Name"	"Roosevelt Island Tidal Energy (RITE) (rest)"
	"Commercial Readiness"	"commercial project"
	"Phase"	"rest"
	"Country"	"USA"
	"Sea"	"Atlantic Ocean"
	"Region"	"New York, East Channel of the East River"
	"Latitude (° N)"	"40.765"
	"Longitude (° E)"	"-73.945"
	"Capacity [MW]"	"0.945"
	"Energy source"	"marine energy (current)"
	"Number of converters"	"27"
	"(Estimated) begin of construction"	""
	"(Estimated) commissioning"	""
	"(Estimated) decommissioning"	""
	"Owner"	"Verdant Power"
	"Project developer"	"Verdant Power"
	"Operator"	"Verdant Power"
	"Converter manufacturer"	"Verdant Power"
	"Converter type"	"KHPS Gen5"
	"Converter working principle"	"Horizontal Axis Turbine"
	"Converter capacity [MW]"	"0.035"
	"Website"	"https://www.verdantpower.com/riteproject"
	"geometry"	"POINT (-8231519.74670861 4977740.76700176)"

Bathymetry
	"Band 1"	"6"

