Tidal current
	"Status"	"early concept"
	"Name"	"SBS @ Indonesia"
	"Commercial Readiness"	"commercial project"
	"Phase"	""
	"Country"	"Indonesia"
	"Sea"	"Bali Sea"
	"Region"	"Lombok and Bali"
	"Latitude (° N)"	"-8.442"
	"Longitude (° E)"	"115.86"
	"Capacity [MW]"	"300"
	"Energy source"	"marine energy (current)"
	"Number of converters"	""
	"(Estimated) begin of construction"	""
	"(Estimated) commissioning"	""
	"(Estimated) decommissioning"	""
	"Owner"	"SBS Intl."
	"Project developer"	"SBS Intl."
	"Operator"	"SBS Intl."
	"Converter manufacturer"	""
	"Converter type"	""
	"Converter working principle"	""
	"Converter capacity [MW]"	""
	"Website"	"http://www.atlantisresourcesltd.com/projects/indonesia/"
	"geometry"	"POINT (12897476.20330868 -943177.96183202)"
	"Status"	"early concept"
	"Name"	"Nautilus (2)"
	"Commercial Readiness"	"commercial project"
	"Phase"	"2"
	"Country"	"Indonesia"
	"Sea"	"Bali Sea"
	"Region"	"Lombok"
	"Latitude (° N)"	"-8.442"
	"Longitude (° E)"	"115.86"
	"Capacity [MW]"	"57"
	"Energy source"	"marine energy (current)"
	"Number of converters"	"38"
	"(Estimated) begin of construction"	""
	"(Estimated) commissioning"	""
	"(Estimated) decommissioning"	""
	"Owner"	""
	"Project developer"	"SBS Intl."
	"Operator"	"SBS Intl."
	"Converter manufacturer"	"SIMEC Atlantis"
	"Converter type"	"AR1500"
	"Converter working principle"	"Horizontal Axis Turbine"
	"Converter capacity [MW]"	"1.5"
	"Website"	"http://www.sbsintl.com/"
	"geometry"	"POINT (12897476.20330868 -943177.96183202)"
	"Status"	"early concept"
	"Name"	"Nautilus (3)"
	"Commercial Readiness"	"commercial project"
	"Phase"	"3"
	"Country"	"Indonesia"
	"Sea"	"Bali Sea"
	"Region"	"Lombok"
	"Latitude (° N)"	"-8.442"
	"Longitude (° E)"	"115.86"
	"Capacity [MW]"	"79.5"
	"Energy source"	"marine energy (current)"
	"Number of converters"	"53"
	"(Estimated) begin of construction"	""
	"(Estimated) commissioning"	""
	"(Estimated) decommissioning"	""
	"Owner"	""
	"Project developer"	"SBS Intl."
	"Operator"	"SBS Intl."
	"Converter manufacturer"	"SIMEC Atlantis"
	"Converter type"	"AR1500"
	"Converter working principle"	"Horizontal Axis Turbine"
	"Converter capacity [MW]"	"1.5"
	"Website"	"http://www.sbsintl.com/"
	"geometry"	"POINT (12897476.20330868 -943177.96183202)"

Bathymetry
	"Band 1"	"-1099.28"

