Tidal barrage lagoon fence 
	"Status"	"early planning"
	"Name"	"Pennamquan Tidal Power Plant"
	"Commercial Readiness"	"commercial project"
	"Phase"	"1"
	"Country"	"USA"
	"Sea"	"Bay of Fundy"
	"Region"	"Maine"
	"Latitude (° N)"	"44.92175"
	"Longitude (° E)"	"-67.129495"
	"Capacity [MW]"	"25.6"
	"Energy source"	"marine energy (tidal barrage)"
	"Number of converters"	"16"
	"(Estimated) begin of construction"	""
	"(Estimated) commissioning"	""
	"(Estimated) decommissioning"	""
	"Owner"	""
	"Project developer"	"Halcyon Tidal Power"
	"Operator"	""
	"Converter manufacturer"	""
	"Converter type"	""
	"Converter working principle"	""
	"Converter capacity [MW]"	""
	"Website"	"http://www.halcyontidalpower.com/projects/pennamaquan-river-me/"
	"geometry"	"POINT (-7472821.2006096 5609211.02576916)"

Bathymetry
	"Band 1"	"9"

