Wave
	"Status"	"dormant"
	"Name"	"Greenwave Rhode Island Ocean Wave Energy Project (1)"
	"Commercial Readiness"	"commercial project"
	"Phase"	"1"
	"Country"	"USA"
	"Sea"	"Atlantic Ocean"
	"Region"	"Rhode Island"
	"Latitude (° N)"	"41.451"
	"Longitude (° E)"	"-71.45"
	"Capacity [MW]"	"1.5"
	"Energy source"	"marine energy (wave)"
	"Number of converters"	"1"
	"(Estimated) begin of construction"	""
	"(Estimated) commissioning"	""
	"(Estimated) decommissioning"	""
	"Owner"	""
	"Project developer"	""
	"Operator"	""
	"Converter manufacturer"	"Oceanlinx"
	"Converter type"	"Mark III Wave Energy Converter"
	"Converter working principle"	"Oscillating Water Column"
	"Converter capacity [MW]"	"1.5"
	"Website"	"http://www.oceanlinx.com/projects/overview"
	"geometry"	"POINT (-7953777.6171794 5079093.3882088)"
	"Status"	"dormant"
	"Name"	"Greenwave Rhode Island Ocean Wave Energy Project (2)"
	"Commercial Readiness"	"commercial project"
	"Phase"	"2"
	"Country"	"USA"
	"Sea"	"Atlantic Ocean"
	"Region"	"Rhode Island"
	"Latitude (° N)"	"41.451"
	"Longitude (° E)"	"-71.45"
	"Capacity [MW]"	"9"
	"Energy source"	"marine energy (wave)"
	"Number of converters"	"6"
	"(Estimated) begin of construction"	""
	"(Estimated) commissioning"	""
	"(Estimated) decommissioning"	""
	"Owner"	""
	"Project developer"	""
	"Operator"	""
	"Converter manufacturer"	"Oceanlinx"
	"Converter type"	"Mark III Wave Energy Converter"
	"Converter working principle"	"Oscillating Water Column"
	"Converter capacity [MW]"	"1.5"
	"Website"	""
	"geometry"	"POINT (-7953777.6171794 5079093.3882088)"

Bathymetry
	"Band 1"	"7"

