Tidal barrage lagoon fence 
	"Status"	"consent authorised"
	"Name"	"Turnagain Arm Tidal Electric Generation Project"
	"Commercial Readiness"	"commercial project"
	"Phase"	""
	"Country"	"USA"
	"Sea"	"Pacific Ocean"
	"Region"	"between Fire Island in the Municipality of Anchorage and Point Possession in the Kenai Peninsula Borough, Alaska"
	"Latitude (° N)"	"61.085"
	"Longitude (° E)"	"-150.318"
	"Capacity [MW]"	"240"
	"Energy source"	"marine energy (tidal barrage)"
	"Number of converters"	"24"
	"(Estimated) begin of construction"	""
	"(Estimated) commissioning"	""
	"(Estimated) decommissioning"	""
	"Owner"	"Turnagain Arm Tidal Energy Corporation (TATEC)"
	"Project developer"	""
	"Operator"	""
	"Converter manufacturer"	""
	"Converter type"	""
	"Converter working principle"	""
	"Converter capacity [MW]"	""
	"Website"	""
	"geometry"	"POINT (-16733323.2170633 8645366.63437781)"

Bathymetry
	"Band 1"	"-8.89713"

